project,session,instrument,frame,observer
AGBT22B_996,"[4, 3, 1, 6, 2, 5]",['Radar'],['VRAD-TOP'],['Evan Smith']
AGBT21B_316,"[22, 17, 16, 32, 20, 35, 24, 30, 31, 25, 19, 18, 15, 21, 33, 36, 27, 23, 26, 29, 34, 14, 28]","['VEGAS', 'DCR']","['VRAD-LSR', 'VRAD-TOP']",['Harshal Gupta']
AGBT23A_155,[1],[],[],[]
AGBT22B_204,"[3, 13, 15, 9, 8, 16, 25, 1, 14, 11, 5, 22, 12, 2, 21, 4, 19, 7, 23, 18, 26, 17, 10, 24, 6, 20]","['VEGAS', 'DCR']","['VRAD-LSR', 'VRAD-TOP']",['Jay Lockman']
AGBT22A_436,"[63, 72, 69, 55, 70, 56, 42, 38, 76, 37, 65, 73, 68, 67, 71, 46, 57, 48, 45, 53, 66, 51, 61, 40, 64, 74, 58, 39, 50, 54, 49, 43, 52, 41, 77, 44, 47, 60, 75]",[],[],[]
TRFI_052422,"[31, 32]",[],[],[]
TRFI_011023_K1,[0],[],[],[]
AGBT21B_261,"[23, 21, 37, 25, 27, 32, 29, 28, 38, 34, 30, 36, 39, 26, 24, 33, 22, 35, 31]",[],[],[]
TINT,"[20220913, 230414, 230422, 20220524, 221108, 20220511, 221212, 20220914, 221226, 230317, 20220628, 221120, 230815, 230306, 230404, 230719, 221116, 220922, 230309, 230517, 20220804, 230321, 221121, 20220803, 230222, 20220505, 230807, 221201, 221026, 230720, 230629, 230511, 230327, 230313, 20220712, 230420, 221118, 220923, 230505, 230713, 20220912, 230608, 221006, 230912, 20220921, 220926, 20220728, 230105, 230307, 230223, 221207, 20220713, 230724, 221129, 230314, 20220624, 221122, 221102, 221027, 230228, 20220729, 230811, 220929, 20220714, 221012, 230606, 221021, 230808, 20220718, 230112, 230308, 230712, 230403, 230215, 20220920, 230729, 20220616, 221110, 20220901, 230111, 220921, 230131, 230911, 220928, 230127, 20220915, 230802, 221019]","['DCR', 'VEGAS', 'DCR_AF']","['VRAD-TOP', 'VRAD-LSR', 'VOPT-LSR']","['Paul Marganian', 'Kathlyn Purcell', 'Joe Brandt']"
AGBT22B_213,"[8, 4, 2, 3, 6, 7, 10, 5, 1, 9]",[],[],[]
TGBT22A_607,"[2, 1]",[],[],[]
TRFI_030623_S1,[0],[],[],[]
TRFI_090923_L4,[0],[],[],[]
AGBT22A_339,"[32, 34, 27, 30, 28, 31, 25, 33, 26, 29, 24]",[],[],[]
AGBT22B_266,"[2, 1, 3, 4, 5]",['VEGAS'],['VRAD-TOP'],['Vladislav Kondratiev']
AGBT22A_398,"[8, 3, 6, 7, 4, 5, 2, 1]","['VEGAS', 'DCR']","['VRAD-LSR', 'VRAD-TOP']",['Prasanta Gorai']
AGBT22A_899,"[5, 12, 9, 7, 11, 13, 6, 8, 10]",[],[],[]
AGBT21B_372,"[14, 13, 12, 15, 11, 17, 16, 10]",['VEGAS'],['VRAD-TOP'],['Zhenzhao Tao']
AGBT23A_999,"[9, 30, 18, 15, 1, 21, 28, 2, 13, 5, 33, 6, 26, 11, 17, 19, 4, 7, 31, 14, 23, 25, 24, 20, 8, 3, 32, 22, 27, 10, 12, 16, 29]","['VEGAS', 'DCR']",['VRAD-TOP'],"['OPERATOR', 'Dave MacMahon', 'Bryan Brzycki']"
AGBT21B_996,"[220, 227, 307, 272, 132, 232, 319, 205, 270, 315, 166, 291, 230, 312, 215, 229, 207, 249, 189, 259, 322, 244, 237, 192, 321, 171, 239, 302, 139, 144, 198, 197, 208, 162, 228, 297, 293, 187, 275, 152, 156, 170, 311, 143, 183, 224, 233, 314, 289, 283, 148, 323, 193, 163, 240, 158, 213, 209, 274, 196, 287, 292, 174, 303, 255, 256, 200, 141, 246, 277, 154, 161, 253, 153, 186, 248, 280, 173, 318, 216, 199, 137, 164, 159, 282, 168, 155, 260, 317, 146, 269, 300, 279, 211, 142, 262, 309, 261, 264, 176, 223, 145, 241, 181, 316, 243, 226, 160, 236, 133, 234, 247, 177, 251, 313, 194, 273, 203, 204, 185, 165, 188, 301, 298, 214, 305, 135, 238, 320, 310, 325, 278, 306, 254, 212, 295, 308, 265, 324, 147, 276, 202, 219, 285, 190, 299, 195, 231, 131, 140, 294, 271, 134, 210, 201, 150, 258, 284, 167, 206, 179, 138, 182, 222, 257, 327, 225, 296, 286, 263, 304, 169, 281, 149, 252, 268, 178, 266, 180, 136, 245, 267, 250, 175, 326, 218, 242, 172, 157, 328, 288, 191, 151, 184, 235, 217, 290, 221]",['VEGAS'],['VRAD-TOP'],['OPERATOR']
TRFI_090923_L2,[0],[],[],[]
TGBT23A_609,"[11, 6, 7, 13, 8, 12, 3, 1, 10, 9, 4, 2, 5]",['VEGAS'],['VRAD-TOP'],['Ryan Lynch']
AGBT22A_999,"[45, 47, 34, 48, 31, 33, 30, 37, 40, 26, 42, 25, 43, 27, 24, 23, 32, 51, 38, 46, 44, 35, 36, 49, 50, 28, 29, 39]",[],[],[]
TRFI_110622_K1,[0],[],[],[]
AGBT22B_065,"[49, 50, 27, 1, 42, 3, 41, 2, 32, 38, 43, 44, 19, 25, 18, 36, 54, 12, 35, 22, 11, 31, 26, 20, 17, 7, 57, 37, 52, 23, 8, 10, 56, 13, 5, 28, 29, 15, 4, 48, 47, 46, 58, 9, 45, 30, 33, 6, 14, 39, 16, 24, 55, 53, 34, 40, 21, 51]","['VEGAS', 'DCR']","['VOPT-LSR', 'VRAD-TOP']","[""Karen O'Neil""]"
