| Project | Session(s) | Affected? | Backend(s) | VELDEF | Observer | Project Friend | Approved? | Approved By | Comments |
| AG22A002 | 1-5 | Yes |  |  |  | - | %X% | - | - |
| AGBT20A_322 | 30-34 | Yes |  |  |  | - | %X% | - | - |
| AGBT21B_024 | 26-34 | Yes |  |  |  | - | %X% | - | - |
| AGBT21B_205 | 18-19 | Yes |  |  |  | - | %X% | - | - |
| AGBT21B_210 | 128-150 | Yes |  |  |  | - | %X% | - | - |
| AGBT21B_261 | 21-39 | Yes |  |  |  | - | %X% | - | - |
| AGBT21B_277 | 18-21 | Yes |  |  |  | - | %X% | - | - |
| AGBT21B_316 | 14-36 | Yes | VEGAS, DCR | VRAD-LSR, VRAD-TOP | Harshal Gupta | - | %X% | - | - |
| AGBT21B_372 | 10-17 | No | VEGAS | VRAD-TOP | Zhenzhao Tao | - | %Y% | [[Main.VictoriaCatlett][Victoria Catlett]] | No fix needed (topocentric) |
| AGBT21B_996 | 131-328 | No | VEGAS | VRAD-TOP | OPERATOR | - | %Y% | [[Main.VictoriaCatlett][Victoria Catlett]] | No fix needed (topocentric) |
| AGBT21B_999 | 5 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_067 | 4 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_110 | 1-8 | Yes | VEGAS, DCR | VRAD-LSR, VRAD-TOP | Steven Federman | - | %X% | - | - |
| AGBT22A_118 | 2-6 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_139 | 4 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_155 | 1-3 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_219 | 1 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_269 | 2-3 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_287 | 9-14 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_325 | 10-15 | Yes | VEGAS, DCR, CCB | VOPT-BAR, VRAD-TOP | Yuanze Luo, David Stark | - | %X% | - | - |
| AGBT22A_339 | 24-34 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_354 | 5-6 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_358 | 5-17 | No | VEGAS, DCR | VRAD-TOP | Nina Gusinskaia | - | %Y% | [[Main.VictoriaCatlett][Victoria Catlett]] | No fix needed (topocentric) |
| AGBT22A_360 | 5-7, 9-12 | No | VEGAS | VRAD-TOP | Tim Bastian | - | %Y% | [[Main.VictoriaCatlett][Victoria Catlett]] | No fix needed (topocentric) |
| AGBT22A_398 | 1-8 | Yes | VEGAS, DCR | VRAD-LSR, VRAD-TOP | Prasanta Gorai | - | %X% | - | - |
| AGBT22A_399 | 1-4 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_404 | 1-2 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_430 | 7-28 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_433 | 9 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_434 | 32-70 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_435 | 6-8 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_436 | 37-58, 60-61, 63-77 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_437 | 14-35, 37-91 | Yes | DCR, VEGAS | VRAD-TOP, VELO-LSR | OPERATOR | - | %X% | - | - |
| AGBT22A_459 | 10-15 | No | MBA15 | VRAD-TOP | Simon Dicker | - | %Y% | [[Main.VictoriaCatlett][Victoria Catlett]] | No fix needed (not VEGAS) |
| AGBT22A_466 | 1-2 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_470 | 3 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_475 | 1-2 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_482 | 1-11 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_483 | 1-5 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_484 | 1-2 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_486 | 1-2 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_492 | 1 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_493 | 1-10 | No | VEGAS | VRAD-TOP | Paul Ray | - | %Y% | [[Main.VictoriaCatlett][Victoria Catlett]] | No fix needed (topocentric) |
| AGBT22A_494 | 1-8 | Yes |  |  |  | - | %X% | - | - |
| AGBT22A_502 | 1-3 | Yes |  |  |  | - | %X% | - | - |
